MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB5.1,122733,3/23/98,M ,DO,9.7,MG/L
CB5.1,122733,3/23/98,BP,DO,10.0,MG/L
CB5.1,122733,3/23/98,M ,DO,9.9,MG/L
CB5.1,122733,3/23/98,M ,DO,9.8,MG/L
CB5.1,122733,3/23/98,M ,DO,10.7,MG/L
CB5.1,122733,3/23/98,M ,DO,10.6,MG/L
CB5.1,122733,3/23/98,M ,DO,10.6,MG/L
CB5.1,122733,3/23/98,M ,DO,10.2,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.2,MG/L
CB5.1,122733,3/23/98,M ,DO,11.0,MG/L
CB5.1,122733,3/23/98,M ,DO,10.9,MG/L
CB5.1,122733,3/23/98,M ,DO,10.7,MG/L
CB5.1,122733,3/23/98,M ,DO,10.6,MG/L
CB5.1,122733,3/23/98,AP,DO,11.6,MG/L
CB5.1,122733,3/23/98,S ,DO,11.5,MG/L
CB5.1,122373,2/11/98,B ,DO,9.6,MG/L
CB5.1,122373,2/11/98,M ,DO,10.8,MG/L
CB5.1,122373,2/11/98,M ,DO,10.5,MG/L
CB5.1,122373,2/11/98,M ,DO,10.1,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.6,MG/L
CB5.1,122733,3/23/98,M ,DO,11.5,MG/L
CB5.1,122733,3/23/98,M ,DO,11.7,MG/L
CB5.1,122733,3/23/98,M ,DO,11.7,MG/L
CB5.1,122733,3/23/98,M ,DO,11.7,MG/L
CB5.1,122373,2/11/98,S ,DO,12.4,MG/L
CB5.1,122033,1/6/98,M ,DO,8.8,MG/L
CB5.1,122373,2/11/98,M ,DO,12.4,MG/L
CB5.1,122373,2/11/98,M ,DO,12.7,MG/L
CB5.1,122373,2/11/98,M ,DO,11.4,MG/L
CB5.1,122373,2/11/98,M ,DO,11.3,MG/L
CB5.1,122373,2/11/98,M ,DO,11.1,MG/L
CB5.1,122033,1/6/98,B ,DO,8.5,MG/L
CB5.1,122033,1/6/98,M ,DO,10.2,MG/L
CB5.1,122033,1/6/98,M ,DO,9.9,MG/L
CB5.1,122033,1/6/98,M ,DO,11.4,MG/L
CB5.1,122033,1/6/98,M ,DO,11.3,MG/L
CB5.1,122033,1/6/98,M ,DO,11.2,MG/L
CB5.1,122033,1/6/98,M ,DO,10.7,MG/L
CB5.1,122033,1/6/98,S ,DO,11.4,MG/L
CB5.1,117685,12/8/97,M ,DO,8.7,MG/L
CB5.1,122033,1/6/98,M ,DO,11.4,MG/L
CB5.1,117685,12/8/97,BP,DO,9.3,MG/L
CB5.1,117685,12/8/97,M ,DO,8.9,MG/L
CB5.1,117685,12/8/97,M ,DO,8.8,MG/L
CB5.1,117685,12/8/97,AP,DO,10.1,MG/L
CB5.1,117685,12/8/97,M ,DO,10.2,MG/L
CB5.1,117685,12/8/97,M ,DO,10.2,MG/L
CB5.1,117685,12/8/97,M ,DO,10.1,MG/L
CB5.1,117685,12/8/97,M ,DO,10.0,MG/L
CB5.1,117685,12/8/97,M ,DO,10.0,MG/L
CB5.1,117685,12/8/97,M ,DO,9.9,MG/L
CB5.1,117685,12/8/97,S ,DO,10.5,MG/L
CB5.1,117685,12/8/97,B ,DO,8.6,MG/L
CB5.1,117685,12/8/97,M ,DO,8.6,MG/L
CB5.1,117685,12/8/97,M ,DO,10.5,MG/L
CB5.1,117685,12/8/97,M ,DO,10.3,MG/L
CB5.1,117685,12/8/97,M ,DO,10.3,MG/L
CB5.1,117481,11/17/97,B ,DO,7.3,MG/L
CB5.1,117481,11/17/97,M ,DO,7.3,MG/L
CB5.1,117685,12/8/97,M ,DO,8.6,MG/L
CB5.1,117481,11/17/97,M ,DO,7.6,MG/L
CB5.1,117481,11/17/97,M ,DO,7.4,MG/L
CB5.1,117481,11/17/97,M ,DO,7.4,MG/L
CB5.1,117481,11/17/97,M ,DO,7.3,MG/L
CB5.1,117481,11/17/97,BP,DO,7.9,MG/L
CB5.1,117481,11/17/97,M ,DO,8.6,MG/L
CB5.1,117481,11/17/97,M ,DO,8.1,MG/L
CB5.1,117481,11/17/97,AP,DO,8.8,MG/L
CB5.1,117481,11/17/97,M ,DO,8.7,MG/L
CB5.1,117481,11/17/97,M ,DO,8.7,MG/L
CB5.1,117481,11/17/97,S ,DO,10.1,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117481,11/17/97,M ,DO,10.0,MG/L
CB5.1,117481,11/17/97,M ,DO,9.9,MG/L
CB5.1,117481,11/17/97,M ,DO,9.5,MG/L
CB5.1,117481,11/17/97,M ,DO,9.1,MG/L
CB5.1,117481,11/17/97,M ,DO,8.9,MG/L
CB5.1,117206,10/14/97,B ,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117206,10/14/97,BP,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,7.7,MG/L
CB5.1,117206,10/14/97,M ,DO,6.7,MG/L
CB5.1,117206,10/14/97,M ,DO,2.9,MG/L
CB5.1,117206,10/14/97,M ,DO,2.6,MG/L
CB5.1,117206,10/14/97,M ,DO,2.4,MG/L
CB5.1,117206,10/14/97,M ,DO,2.7,MG/L
CB5.1,117206,10/14/97,M ,DO,2.8,MG/L
CB5.1,117206,10/14/97,M ,DO,2.7,MG/L
CB5.1,117206,10/14/97,AP,DO,7.0,MG/L
CB5.1,117206,10/14/97,M ,DO,8.1,MG/L
CB5.1,117206,10/14/97,M ,DO,7.8,MG/L
CB5.1,116841,9/8/97,M ,DO,1.0,MG/L
CB5.1,117206,10/14/97,M ,DO,8.4,MG/L
CB5.1,117206,10/14/97,M ,DO,8.4,MG/L
