MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB3.2,72201,2/14/03,B ,SALINITY,18.69,PPT
CB3.2,72410,3/12/03,M ,SALINITY,13.33,PPT
CB3.2,72410,3/12/03,M ,SALINITY,11.15,PPT
CB3.2,72410,3/12/03,S ,SALINITY,4.24,PPT
CB3.2,72410,3/12/03,M ,SALINITY,14.93,PPT
CB3.2,72410,3/12/03,M ,SALINITY,14.6,PPT
CB3.2,72410,3/12/03,BP,SALINITY,13.93,PPT
CB3.2,72410,3/12/03,B ,SALINITY,15.2,PPT
CB3.2,72751,4/8/03,S ,SALINITY,1.97,PPT
CB3.2,72751,4/8/03,M ,SALINITY,3.18,PPT
CB3.2,72410,3/12/03,M ,SALINITY,15.14,PPT
CB3.2,72751,4/8/03,AP,SALINITY,2.02,PPT
CB3.2,72751,4/8/03,M ,SALINITY,11.02,PPT
CB3.2,72751,4/8/03,M ,SALINITY,8.95,PPT
CB3.2,72751,4/8/03,M ,SALINITY,7.49,PPT
CB3.2,72751,4/8/03,M ,SALINITY,5.21,PPT
CB3.2,72751,4/8/03,M ,SALINITY,13.86,PPT
CB3.2,72751,4/8/03,M ,SALINITY,13.66,PPT
CB3.2,72751,4/8/03,BP,SALINITY,12.73,PPT
CB3.2,72751,4/8/03,M ,SALINITY,13.93,PPT
CB3.2,72751,4/8/03,M ,SALINITY,13.86,PPT
CB3.2,72751,4/8/03,B ,SALINITY,13.99,PPT
CB3.2,73154,5/7/03,M ,SALINITY,4.24,PPT
CB3.2,73154,5/7/03,M ,SALINITY,2.65,PPT
CB3.2,73154,5/7/03,S ,SALINITY,2.6,PPT
CB3.2,73154,5/7/03,M ,SALINITY,5.94,PPT
CB3.2,73154,5/7/03,M ,SALINITY,4.6,PPT
CB3.2,73154,5/7/03,AP,SALINITY,6.68,PPT
CB3.2,73154,5/7/03,M ,SALINITY,9.53,PPT
CB3.2,73154,5/7/03,M ,SALINITY,7.43,PPT
CB3.2,73154,5/7/03,BP,SALINITY,10.43,PPT
CB3.2,73154,5/7/03,M ,SALINITY,12.53,PPT
CB3.2,73154,5/7/03,M ,SALINITY,11.74,PPT
CB3.2,73390,5/21/03,S ,SALINITY,4.72,PPT
CB3.2,73390,5/21/03,M ,SALINITY,5.57,PPT
CB3.2,73154,5/7/03,M ,SALINITY,13.13,PPT
CB3.2,73390,5/21/03,M ,SALINITY,9.14,PPT
CB3.2,73390,5/21/03,AP,SALINITY,5.63,PPT
CB3.2,73390,5/21/03,M ,SALINITY,6.19,PPT
CB3.2,73390,5/21/03,M ,SALINITY,8.25,PPT
CB3.2,73390,5/21/03,BP,SALINITY,8.63,PPT
CB3.2,73390,5/21/03,M ,SALINITY,11.15,PPT
CB3.2,73390,5/21/03,M ,SALINITY,10.43,PPT
CB3.2,73390,5/21/03,M ,SALINITY,9.98,PPT
CB3.2,73390,5/21/03,M ,SALINITY,9.27,PPT
CB3.2,73390,5/21/03,B ,SALINITY,11.93,PPT
CB3.2,73941,6/18/03,S ,SALINITY,3.41,PPT
CB3.2,73941,6/18/03,M ,SALINITY,4.54,PPT
CB3.2,73941,6/18/03,M ,SALINITY,4.24,PPT
CB3.2,73941,6/18/03,M ,SALINITY,4.0,PPT
CB3.2,73941,6/18/03,M ,SALINITY,3.47,PPT
CB3.2,73941,6/18/03,M ,SALINITY,9.46,PPT
CB3.2,73941,6/18/03,M ,SALINITY,5.63,PPT
CB3.2,73941,6/18/03,AP,SALINITY,4.72,PPT
CB3.2,73941,6/18/03,M ,SALINITY,11.15,PPT
CB3.2,73941,6/18/03,M ,SALINITY,11.02,PPT
CB3.2,73941,6/18/03,BP,SALINITY,10.82,PPT
CB3.2,73941,6/18/03,B ,SALINITY,11.63,PPT
CB3.2,73941,6/18/03,M ,SALINITY,11.28,PPT
CB3.2,81797,12/17/08,M ,SALINITY,10.43,PPT
CB3.2,81797,12/17/08,M ,SALINITY,9.14,PPT
CB3.2,81797,12/17/08,AP,SALINITY,5.94,PPT
CB3.2,81797,12/17/08,M ,SALINITY,12.26,PPT
CB3.2,81797,12/17/08,M ,SALINITY,10.56,PPT
CB3.2,81797,12/17/08,S ,SALINITY,5.94,PPT
CB3.2,81797,12/17/08,M ,SALINITY,13.53,PPT
CB3.2,81797,12/17/08,M ,SALINITY,13.33,PPT
CB3.2,81797,12/17/08,M ,SALINITY,6.0,PPT
CB3.2,81797,12/17/08,BP,SALINITY,13.19,PPT
CB3.2,81797,12/17/08,M ,SALINITY,13.93,PPT
CB3.2,81797,12/17/08,M ,SALINITY,13.79,PPT
CB3.2,81797,12/17/08,B ,SALINITY,13.99,PPT
CB3.2,82082,1/26/09,M ,SALINITY,8.82,PPT
CB3.2,82082,1/26/09,M ,SALINITY,8.38,PPT
CB3.2,82082,1/26/09,S ,SALINITY,8.19,PPT
CB3.2,82082,1/26/09,M ,SALINITY,14.53,PPT
CB3.2,82082,1/26/09,M ,SALINITY,10.3,PPT
CB3.2,82082,1/26/09,AP,SALINITY,9.4,PPT
CB3.2,82082,1/26/09,M ,SALINITY,15.61,PPT
CB3.2,82082,1/26/09,M ,SALINITY,15.61,PPT
CB3.2,82082,1/26/09,BP,SALINITY,15.41,PPT
CB3.2,82082,1/26/09,M ,SALINITY,15.61,PPT
CB3.2,82082,1/26/09,M ,SALINITY,15.61,PPT
CB3.2,82082,1/26/09,B ,SALINITY,15.61,PPT
CB3.2,75479,10/3/11,M ,SALINITY,0.0,PPT
CB3.2,75479,10/3/11,M ,SALINITY,0.0,PPT
CB3.2,75479,10/3/11,S ,SALINITY,0.0,PPT
CB3.2,75479,10/3/11,M ,SALINITY,0.35,PPT
CB3.2,75479,10/3/11,M ,SALINITY,0.08,PPT
CB3.2,75479,10/3/11,AP,SALINITY,0.24,PPT
CB3.2,75479,10/3/11,M ,SALINITY,4.9,PPT
CB3.2,75479,10/3/11,M ,SALINITY,4.66,PPT
CB3.2,75479,10/3/11,M ,SALINITY,3.59,PPT
CB3.2,75479,10/3/11,M ,SALINITY,1.85,PPT
CB3.2,75479,10/3/11,B ,SALINITY,7.3,PPT
CB3.2,75479,10/3/11,BP,SALINITY,7.3,PPT
CB3.2,75763,10/19/11,M ,SALINITY,1.62,PPT
CB3.2,75479,10/3/11,M ,SALINITY,6.49,PPT
CB3.2,75763,10/19/11,S ,SALINITY,1.51,PPT
CB3.2,75763,10/19/11,M ,SALINITY,2.42,PPT
CB3.2,75763,10/19/11,M ,SALINITY,1.68,PPT
CB3.2,75763,10/19/11,AP,SALINITY,1.79,PPT
CB3.2,75763,10/19/11,M ,SALINITY,6.12,PPT
CB3.2,75763,10/19/11,M ,SALINITY,5.88,PPT
CB3.2,75763,10/19/11,M ,SALINITY,5.69,PPT
CB3.2,75763,10/19/11,M ,SALINITY,5.45,PPT
CB3.2,75763,10/19/11,M ,SALINITY,5.09,PPT
CB3.2,75763,10/19/11,M ,SALINITY,4.06,PPT
CB3.2,75763,10/19/11,BP,SALINITY,4.6,PPT
CB3.2,75763,10/19/11,B ,SALINITY,6.37,PPT
CB3.2,84322,8/5/98,AP,SALINITY,6.0625,PPT
CB3.2,84322,8/5/98,M ,SALINITY,8.63019,PPT
CB3.2,84322,8/5/98,M ,SALINITY,6.49461,PPT
CB3.2,84322,8/5/98,S ,SALINITY,6.0625,PPT
CB3.2,84322,8/5/98,M ,SALINITY,10.69045,PPT
CB3.2,84322,8/5/98,M ,SALINITY,9.78351,PPT
CB3.2,84322,8/5/98,M ,SALINITY,8.8852,PPT
CB3.2,84322,8/5/98,M ,SALINITY,8.7576,PPT
CB3.2,84322,8/5/98,M ,SALINITY,11.3433,PPT
CB3.2,84322,8/5/98,M ,SALINITY,11.2124,PPT
CB3.2,84322,8/5/98,BP,SALINITY,12.92618,PPT
CB3.2,84526,8/19/98,M ,SALINITY,8.05923,PPT
CB3.2,84526,8/19/98,M ,SALINITY,7.93288,PPT
CB3.2,84526,8/19/98,M ,SALINITY,7.74373,PPT
CB3.2,84526,8/19/98,M ,SALINITY,7.68079,PPT
CB3.2,84322,8/5/98,M ,SALINITY,12.79344,PPT
CB3.2,84322,8/5/98,B ,SALINITY,13.39191,PPT
CB3.2,84526,8/19/98,M ,SALINITY,8.43944,PPT
CB3.2,73154,5/7/03,B ,SALINITY,13.26,PPT
CB3.2,84526,8/19/98,S ,SALINITY,7.61789,PPT
CB3.2,84526,8/19/98,AP,SALINITY,8.8852,PPT
CB3.2,84526,8/19/98,M ,SALINITY,9.2691,PPT
CB3.2,84526,8/19/98,BP,SALINITY,10.43047,PPT
CB3.2,84526,8/19/98,B ,SALINITY,10.6254,PPT
CB3.2,78255,1/11/01,S ,SALINITY,10.5,PPT
CB3.2,78255,1/11/01,M ,SALINITY,10.95,PPT
CB3.2,84526,8/19/98,M ,SALINITY,10.04177,PPT
CB3.2,78255,1/11/01,AP,SALINITY,11.28,PPT
CB3.2,78255,1/11/01,M ,SALINITY,12.33,PPT
CB3.2,78255,1/11/01,M ,SALINITY,12.46,PPT
CB3.2,78255,1/11/01,M ,SALINITY,12.46,PPT
CB3.2,78255,1/11/01,M ,SALINITY,11.34,PPT
CB3.2,78255,1/11/01,M ,SALINITY,14.73,PPT
CB3.2,78255,1/11/01,M ,SALINITY,13.46,PPT
CB3.2,78255,1/11/01,BP,SALINITY,15.34,PPT
CB3.2,78255,1/11/01,B ,SALINITY,15.75,PPT
